fault,Y,X,Z
F7,-322.0907205455005,2748.1702203108,1980.034912109375
F7,-306.0172508992255,2728.591014485806,1965.131103515625
F7,-292.8542037382722,2712.5175448386,1951.2532958984375
F7,-280.61720010079443,2697.7008485384285,1942.722412109375
F7,-262.82393534481525,2675.475804087706,1929.132568359375
F7,-251.44682926125824,2661.5190053395927,1914.9012451171875
F7,-238.01919823884964,2644.254908312112,1901.9637451171875
F7,-230.08168236352503,2634.200721536763,1889.79052734375
F7,-220.22593348287046,2622.3605936896056,1880.9146728515625
F7,-208.31965967081487,2606.8824377339333,1868.20068359375
F7,-200.0514139700681,2594.5131421620026,1860.9112548828125
F7,-192.44462792016566,2583.5990578345954,1853.8118896484375
F7,-184.90398784168065,2572.28809771128,1847.36376953125
F7,-178.75241303816438,2562.49849480018,1843.64697265625
F7,-172.66698419861495,2552.444308024831,1839.12060546875
F7,-167.2430150192231,2544.7052300451323,1835.4439697265625
F7,-160.42998055927455,2535.577086790465,1831.046630859375
F7,-153.02163240872324,2526.8458193279803,1826.972900390625
F7,-145.2164084650576,2516.9900704491884,1824.3446044921875
F7,-137.34503855742514,2506.0098401559517,1820.0460205078125
F7,-128.87835495732725,2492.5160631667823,1816.08056640625
F7,-121.93302856199443,2480.6097893565893,1813.4718017578125
F7,-117.96427062526345,2468.505077646114,1814.9110107421875
F7,-115.71530779637396,2460.50141580496,1817.029296875
F7,-113.40019899979234,2452.167024136521,1820.816162109375
F7,-110.82050633989275,2443.634194571525,1823.431396484375
F7,-107.57935402542353,2434.1753214858472,1826.445556640625
F7,-103.94132591411471,2422.9966532960534,1831.3853759765625
F7,-100.63402763567865,2413.6700721438974,1834.68017578125
F7,-96.40068583190441,2402.7559878136963,1837.54296875
F7,-89.38921347819269,2383.639803748578,1836.0460205078125
F7,-76.29231228120625,2350.169945142232,1829.447509765625
F7,-69.54542378894985,2330.458447384648,1826.7918701171875
F7,-62.73238933086395,2313.657372117974,1826.6512451171875
F7,-54.86101941764355,2285.5453367261216,1829.728515625
F7,-51.289137279614806,2262.6588326189667,1831.8853759765625
F7,-49.83392603136599,2244.336400141008,1826.9427490234375
F7,-47.25423337332904,2227.0723031135276,1822.9296875
F7,-42.22713998146355,2183.0190900070593,1799.08642578125
F7,-41.03651260212064,2172.105005679652,1792.45166015625
F7,-39.51515539176762,2153.5179893383756,1787.312255859375
F7,-37.79536028765142,2136.1877463422716,1787.02294921875
F7,-36.604732908308506,2118.7913573840633,1787.553955078125
F7,-35.546397453173995,2112.772074512206,1790.9482421875
F7,-33.892748318612576,2100.1381950778887,1798.1644287109375
F7,-31.445347590371966,2083.2709738435224,1807.06201171875
F7,-29.460968619212508,2066.3376066433266,1807.9700927734375
F7,-27.873465444892645,2057.2094633877277,1804.90283203125
F7,-26.81512999162078,2047.0891306474805,1807.0914306640625
F7,-24.036999439820647,2027.5099248206243,1820.8233642578125
F7,-19.539073776453733,2008.8567625135183,1842.82568359375
F7,-12.818643668666482,1989.4759945860133,1862.886474609375
F7,-9.484886998310685,1979.8451419910416,1875.7938232421875
F7,-4.9340445678681135,1966.7217824114487,1886.7864990234375
F7,-1.9707053042948246,1956.9850962720811,1897.18798828125
F7,1.2572178170084953,1946.9838262684643,1894.8194580078125
F7,3.10930485278368,1940.4221464786679,1893.136962890625
F7,5.808060249313712,1932.5375473769382,1886.39208984375
F7,7.395563427358866,1923.806279915385,1882.78857421875
F7,8.559732418507338,1918.4616858921945,1879.284912109375
F7,10.411819459870458,1906.4495785348117,1868.9012451171875
F7,11.999322637915611,1898.0358117073774,1860.312744140625
