X,Y,Z,section_name,source_layer,feature_type,confidence,use_as_hard,note,dist_F2_m,dist_F7_m,nearest
1828.1394390000496,125.79810000024736,1427.19197342,K15,Z1,structure_hint,medium,0,,1061.8381441015267,96.5396464790652,F7
1828.1387940000277,119.40909999981523,1405.04856851,K15,Z1,structure_hint,medium,0,,1059.8098260062914,90.23306731067518,F7
-160.616268999991,35.86469000019133,1733.19711497,XK00,D1,fracture_hint,medium,0,,44.547912818489294,1546.9848569480596,F2
-160.63913000002503,35.73532999958843,1712.77790391,XK00,D1,fracture_hint,medium,0,,44.41691434590503,1547.0134183205237,F2
-232.24109400005545,-369.42050000000745,1844.82842023,XK00,Z1,structure_hint,medium,0,,366.1714557811733,1685.039449767917,F2
-228.94310799997766,-350.75901999976486,1778.55522373,XK00,Z1,structure_hint,medium,0,,347.2596115955558,1676.7147691202902,F2
-224.414877000032,-325.136269999668,1687.75141996,XK00,Z1,structure_hint,medium,0,,321.29310407948253,1665.568250211138,F2
-222.66109299997333,-315.21258000005037,1652.92064063,XK00,Z1,structure_hint,medium,0,,311.2362767317132,1661.3405953190472,F2
-219.67709600005765,-298.3277899995446,1593.4237528,XK00,Z1,structure_hint,medium,0,,294.12495879624765,1654.2636602685934,F2
-381.2697969999863,35.14867999963462,1820.76753787,XK03-1,D1,fracture_hint,medium,0,,7.064941828204183,1767.4775135468574,F2
-381.2425860000076,35.23486999981105,1800.41166049,XK03-1,D1,fracture_hint,medium,0,,6.975190989523088,1767.446956306441,F2
-345.46921400004067,148.54411000013351,1785.64181458,XK03-1,Z1,structure_hint,medium,0,,111.01539340930545,1730.8932622732295,F2
-347.44384700001683,142.2896199999377,1736.88238736,XK03-1,Z1,structure_hint,medium,0,,104.50250069111442,1732.7186132899697,F2
-349.8517940000165,134.66263999976218,1676.47750471,XK03-1,Z1,structure_hint,medium,0,,96.56041406347424,1734.975474070415,F2
-355.5111539999489,116.73708000034094,1539.09900202,XK03-1,Z1,structure_hint,medium,0,,77.89426371137236,1740.41292864335,F2
5.714829999953508,-77.99703999981284,1728.1869146,XK04,D,fracture_hint,medium,0,,15.23077451538116,1391.1298676532713,F2
-8.477476999978535,-104.7968699997291,1743.02547111,XK04,Z1,structure_hint,medium,0,,45.24268705133584,1408.9272850221057,F2
-7.70801499998197,-103.34386000037193,1739.49767704,XK04,Z1,structure_hint,medium,0,,43.61552856027069,1407.9513853640276,F2
-2.364525999990292,-93.25356000009924,1713.27562008,XK04,Z1,structure_hint,medium,0,,32.31586031180407,1401.2087782763265,F2
-1.2103320000460371,-91.0740599995479,1708.0748515,XK04,Z1,structure_hint,medium,0,,29.87513636358836,1399.7603413355905,F2
10.588091999990866,-68.79468000028282,1653.88502505,XK04,Z1,structure_hint,medium,0,,4.925471035530287,1385.1190998802722,F2
11.95602499996312,-66.21157000027597,1648.28419734,XK04,Z1,structure_hint,medium,0,,2.03276242972163,1383.4412622523344,F2
13.708689999999478,-62.90194999985397,1640.71944305,XK04,Z1,structure_hint,medium,0,,1.6735304673813451,1381.2975915882166,F2
14.905630999943241,-60.641719999723136,1635.66415051,XK04,Z1,structure_hint,medium,0,,4.203732123778915,1379.8375494559014,F2
17.34226199996192,-56.04055000003427,1625.11713731,XK04,Z1,structure_hint,medium,0,,9.346694546764862,1376.875217017835,F2
19.308667000033893,-52.32732000015676,1616.57041972,XK04,Z1,structure_hint,medium,0,,13.49716059787392,1374.4942863085992,F2
22.258273000014015,-46.75746999960393,1603.87763486,XK04,Z1,structure_hint,medium,0,,19.72286391751589,1370.9392842335435,F2
24.096433000057004,-43.28641000017524,1596.02192848,XK04,Z1,structure_hint,medium,0,,23.60264433846508,1368.7338577091466,F2
27.217030999949202,-37.39367999974638,1582.56539439,XK04,Z1,structure_hint,medium,0,,30.189248786811383,1365.0074812298813,F2
28.41397200000938,-35.13344999961555,1577.69194691,XK04,Z1,structure_hint,medium,0,,32.71562192441917,1363.584136261077,F2
