fault,depth_below_trace_m,Y_m,top_elevation_m,admissible_model_count,admissible_models,x_min_m,x_median_m,x_max_m,x_spread_m,x_single_plane_m,x_segmented_plane_m,x_quadratic_surface_m,x_trace_constrained_ruled_m
F2,100.0,293.262218083255,1866.912919210092,2,single_plane;segmented_plane,-1463.9009009872098,-1410.6036388606299,-1357.30637673405,106.59452425315976,-1463.9009009872098,-1357.30637673405,,
F2,100.0,302.8761219996959,1862.377277334696,2,single_plane;segmented_plane,-1478.0599232035456,-1429.2515895084944,-1380.443255813443,97.61666739010252,-1478.0599232035456,-1380.443255813443,,
F2,100.0,312.4900259170681,1858.0075800344,2,single_plane;segmented_plane,-1492.477232342586,-1448.1524529673625,-1403.8276735922555,88.64955875033047,-1492.477232342586,-1403.8276735922555,,
F2,100.0,322.103929833509,1853.535680637054,2,single_plane;segmented_plane,-1506.7354674941162,-1466.8975522513501,-1427.0596370087005,79.67583048541564,-1506.7354674941162,-1427.0596370087005,,
F2,100.0,331.71783374994993,1848.504421153322,2,single_plane;segmented_plane,-1520.1230782570783,-1484.7901420134585,-1449.4572057697223,70.66587248735595,-1520.1230782570783,-1449.4572057697223,,
F2,100.0,341.33173766639084,1843.6798048871851,2,single_plane;segmented_plane,-1533.8323219525628,-1502.9976725708693,-1472.1630231892923,61.66929876327049,-1533.8323219525628,-1472.1630231892923,,
F2,100.0,350.94564158376306,1839.981037103336,2,single_plane;segmented_plane,-1549.2939093916211,-1522.9210862892214,-1496.5482631869381,52.745646204683,-1549.2939093916211,-1496.5482631869381,,
F2,100.0,360.55954550020397,1839.1114840622597,2,single_plane;segmented_plane,-1569.1590705115814,-1547.1564496185165,-1525.1538287254516,44.00524178612977,-1569.1590705115814,-1525.1538287254516,,
F2,100.0,370.17344941664487,1849.3119628417955,2,single_plane;segmented_plane,-1606.2543485467322,-1588.2634270775598,-1570.2725056083873,35.981842938344926,-1606.2543485467322,-1570.2725056083873,,
F2,100.0,379.7873533330858,1875.488911453772,2,single_plane;segmented_plane,-1668.2164424649673,-1653.7198227257468,-1639.2232029866427,28.99323947832454,-1668.2164424649673,-1639.2232029866427,,
F2,100.0,389.401257250458,1891.8704646686128,2,single_plane;segmented_plane,-1714.9323464323534,-1704.247252130881,-1693.5621578294085,21.37018860294484,-1714.9323464323534,-1693.5621578294085,,
F2,100.0,399.0151611668989,1895.2424571685744,2,single_plane;segmented_plane,-1741.3993246705504,-1734.9470702008111,-1728.4948157310719,12.904508939478546,-1741.3993246705504,-1728.4948157310719,,
F2,100.0,408.6290650833398,1895.4366691739397,2,single_plane;segmented_plane,-1762.9201988379937,-1760.8036965652136,-1758.6871942924336,4.233004545560107,-1762.9201988379937,-1758.6871942924336,,
F2,100.0,418.2429689997807,1906.633194199697,2,single_plane;segmented_plane,-1805.2916684012162,-1803.4287281901343,-1801.5657879790524,3.7258804221637543,-1801.5657879790524,-1805.2916684012162,,
F2,100.0,427.85687291715294,1903.7069788813133,2,single_plane;segmented_plane,-1830.8293210645206,-1824.5295736722182,-1818.2298262799159,12.599494784604758,-1818.2298262799159,-1830.8293210645206,,
F2,100.0,437.47077683359385,1898.138318096104,2,single_plane;segmented_plane,-1852.4252509800717,-1841.6031208570348,-1830.780990733998,21.644260246073827,-1830.780990733998,-1852.4252509800717,,
F2,100.0,447.08468075003475,1899.5192187963823,2,single_plane;segmented_plane,-1884.3878071585204,-1869.268355730921,-1854.148904303438,30.23890285508241,-1854.148904303438,-1884.3878071585204,,
F2,100.0,456.69858466647565,1903.1779342939951,2,single_plane;segmented_plane,-1919.7481683281949,-1900.4051625882275,-1881.0621568481438,38.68601148005109,-1881.0621568481438,-1919.7481683281949,,
F2,100.0,466.3124885838479,1909.919314392084,2,single_plane;segmented_plane,-1959.7069249352207,-1936.2401969210478,-1912.7734689068748,46.93345602834597,-1912.7734689068748,-1959.7069249352207,,
F2,100.0,475.9263925002888,1916.868793662161,2,single_plane;segmented_plane,-1999.9761020379374,-1972.3923910381272,-1944.808680038317,55.167421999620274,-1944.808680038317,-1999.9761020379374,,
F2,100.0,485.5402964167297,1924.8546904430232,2,single_plane;segmented_plane,-2041.7912979809335,-2010.1241683581611,-1978.4570387353888,63.33425924554467,-1978.4570387353888,-2041.7912979809335,,
F2,100.0,495.1542003331706,1933.579706704048,2,single_plane;segmented_plane,-2084.7090347718913,-2048.982422897592,-2013.255811023293,71.45322374859825,-2013.255811023293,-2084.7090347718913,,
F2,100.0,504.7681042496115,1940.4718530429425,2,single_plane;segmented_plane,-2124.8926886266563,-2085.047237040708,-2045.2017854547594,79.69090317189693,-2045.2017854547594,-2124.8926886266563,,
F2,100.0,514.3820081669837,1946.9302015441815,2,single_plane;segmented_plane,-2164.429248409928,-2120.450908576604,-2076.47256874328,87.95667966664769,-2076.47256874328,-2164.429248409928,,
F2,100.0,523.9959120834246,1953.3885500447952,2,single_plane;segmented_plane,-2203.9658081895905,-2155.8545801092405,-2107.743352028774,96.22245616081636,-2107.743352028774,-2203.9658081895905,,
F2,100.0,533.6098159998655,1942.0986327835185,2,single_plane;segmented_plane,-2217.027368308278,-2164.208474707091,-2111.3895811057882,105.63778720248956,-2111.3895811057882,-2217.027368308278,,
F2,100.0,543.2237199163064,1926.234185391761,2,single_plane;segmented_plane,-2223.2651246099267,-2165.5904194102623,-2107.9157142104814,115.34941039944532,-2107.9157142104814,-2223.2651246099267,,
F2,100.0,552.8376238336787,1915.1185964300323,2,single_plane;segmented_plane,-2236.5867293879855,-2174.2100042859092,-2111.833279183833,124.7534502041526,-2111.833279183833,-2236.5867293879855,,
F2,100.0,562.4515277501196,1905.0154251579236,2,single_plane;segmented_plane,-2251.4185525894864,-2184.372594714514,-2117.3266368395416,134.09191574994475,-2117.3266368395416,-2251.4185525894864,,
F2,100.0,572.0654316665605,1897.2901510796005,2,single_plane;segmented_plane,-2269.797473194427,-2198.1592907052254,-2126.521108216024,143.27636497840285,-2126.521108216024,-2269.797473194427,,
F2,100.0,581.6793355830014,1892.0650513835096,2,single_plane;segmented_plane,-2291.9058914757334,-2215.7564524756745,-2139.6070134756155,152.29887800011784,-2139.6070134756155,-2291.9058914757334,,
F2,100.0,591.2932395003736,1888.277719296937,2,single_plane;segmented_plane,-2316.1590205440298,-2235.5448871112894,-2154.9307536784327,161.2282668655971,-2154.9307536784327,-2316.1590205440298,,
F2,100.0,600.9071434168145,1880.6491217888024,2,single_plane;segmented_plane,-2334.682153107249,-2249.478925929405,-2164.275698751444,170.40645435580518,-2164.275698751444,-2334.682153107249,,
F2,100.0,610.5210473332554,1868.3534737777452,2,single_plane;segmented_plane,-2346.2434696744895,-2256.300006403122,-2166.3565431317547,179.88692654273473,-2166.3565431317547,-2346.2434696744895,,
F2,100.0,620.1349512496963,1856.7519784377791,2,single_plane;segmented_plane,-2358.8402503246907,-2264.1790310819633,-2169.5178118391195,189.3224384855712,-2169.5178118391195,-2358.8402503246907,,
F2,100.0,629.7488551670685,1848.735945297204,2,single_plane;segmented_plane,-2376.785447087139,-2277.5225870027207,-2178.259726918186,198.52572016895283,-2178.259726918186,-2376.785447087139,,
F2,100.0,639.3627590844408,1848.3384586770128,2,single_plane;segmented_plane,-2406.095191755099,-2302.4774173240876,-2198.859642893076,207.23554886202328,-2198.859642893076,-2406.095191755099,,
F2,100.0,648.9766629999503,1854.1278619573168,2,single_plane;segmented_plane,-2444.6338892804924,-2336.8615628231782,-2229.0892363659805,215.544652914512,-2229.0892363659805,-2444.6338892804924,,
F2,100.0,658.5905669163913,1866.185356740552,2,single_plane;segmented_plane,-2492.522667689249,-2380.7987812386127,-2269.0748947879765,223.4477729012724,-2269.0748947879765,-2492.522667689249,,
