scenario_id,seed,n_points,n_mc,n_competing_faults,minimum_base_spacing,curvature_rms,amplitude_median,dip_base_control,dip_y_variation_control,dip_depth_variation_control,ore_scatter_scale,perturbation_scale,baseline_accuracy,DSI_2D,DSI_3D,distance_diff_2D,distance_diff_3D,normalized_margin_2D,normalized_margin_3D,reversal_probability,binary_reversal_label,point_level_reattribution_probability,generator
OOD_1155,1379285718,60,50,4,570.3647310330016,88.204724409679,59.42652553806532,59.25383562665735,-5.018174740857868,-4.127131095261115,15.0,10.0,1.0,3.331548332683159,65.28620563649847,297.9983817192443,456.1625595488239,0.5381905050407635,0.9698216902224975,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1156,1116483834,60,50,5,1261.9676599581128,85.32520876956121,39.47513806820118,52.812473324445605,0.4977814953975468,5.40169697033947,70.0,25.0,1.0,7.18165815059727,37.175580650058194,831.5102872487003,878.0939169395822,0.7555232208921381,0.9476104714260536,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1157,674753302,60,50,3,390.97201724434115,77.65972698461853,22.124061301318463,65.074714734927,-2.975737916437213,-7.834534123443744,70.0,120.0,0.9666666666666667,2.160461725239302,5.7708929375561615,126.99212728047442,249.66207590102954,0.3670843210684417,0.7042685281574483,0.38,1,0.093,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1158,2002581188,60,50,3,509.41111505337045,76.3041806448173,23.072347355949233,72.45017649591487,-4.8715828974512965,-6.046839005233133,15.0,10.0,1.0,4.463785066622583,53.25068358132573,294.14871937132784,429.7919153052781,0.6339473289958151,0.9631338996610294,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1159,901906499,60,50,3,725.0240532196601,82.71753947750497,63.406139577837486,51.141073432610554,6.2346643459271505,-0.9476717724634796,15.0,10.0,1.0,3.065336468877359,90.08015557002706,292.4899305500249,467.2590354674054,0.5080190436557294,0.9778873075905836,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1160,1452976241,60,50,4,155.0836574621063,54.18006022911421,54.003320639152435,77.73002033260167,9.07315918073753,-1.4719999131027421,70.0,60.0,0.8333333333333334,1.4933453647983257,3.0940312211751504,28.287345507616564,89.83489511232074,0.19774546491528444,0.5107577908135449,0.84,1,0.1703333333333333,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1161,1823102430,60,50,3,182.58713762149847,63.65154034346432,60.17893590369407,68.14542172384097,-3.2336380392835595,-7.152681092955728,110.0,120.0,0.7833333333333333,0.603511940389178,2.3301700344453726,-35.6530291438565,118.51120330840433,-0.24822412530591306,0.39936369529263915,0.82,1,0.28633333333333333,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1162,2036679931,60,50,2,705.299797946225,82.22689296860325,50.05580560827906,51.21543111749456,9.095592682409471,-7.831154761593897,110.0,60.0,1.0,2.6418325627303743,9.2630813732381,259.17840602975923,426.56805302053885,0.4507940976423038,0.8051232741664109,0.08,1,0.019000000000000003,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1163,858850342,60,50,2,468.54754402391075,95.25660411107938,60.50384359930998,72.69593523511229,-6.593457801395379,-0.9017572047507034,110.0,120.0,0.9666666666666667,3.6814006568417033,4.080671541691195,269.7167792549624,314.57413702833594,0.5723578306392307,0.6063226957504064,0.36,1,0.07033333333333333,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1164,263993238,60,50,3,544.2211156115334,87.42842765307017,20.064028765803283,51.19379907918275,4.9340717888471275,-6.382928032901875,70.0,10.0,1.0,2.3236977880476415,16.75406625730319,209.82701449273964,361.6758186244899,0.3981146705995223,0.8873389502058843,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1165,1162955330,60,50,5,395.83164539807524,79.73452635951952,53.29623673564406,48.040087482491856,-1.1530925343991072,2.646471459434025,70.0,10.0,1.0,1.0245882418713115,8.404833546522028,5.298392433915701,229.6275308710537,0.010010900473104982,0.7870989608639398,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1166,967467989,60,50,4,700.2809700420756,59.28266474906094,39.39621247397245,70.3360057028907,-9.743233592328206,-3.122970315820803,70.0,25.0,1.0,9.059616369438999,16.89074791049124,532.497425134978,607.0920132710489,0.8011818353856845,0.8882076331936357,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1167,75940953,60,50,5,420.1167579112335,70.58704892031338,40.08678217537411,64.06005113654204,-7.9386092759249465,-2.6641163715617395,70.0,120.0,1.0,1.436250110155392,6.479352325242798,52.64143268698683,202.34055560814764,0.1789878421696403,0.7325518981120183,0.32,1,0.10766666666666666,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
