scheme,metric,statistic,point_estimate,ci95_low,ci95_high,n_bootstrap,seed
domain_scatter_family,DSI_3D,roc_auc,0.9303892709029482,0.9268824901300172,0.9341225148810367,500,20260806
domain_scatter_family,DSI_3D,pr_auc,0.9794635807020098,0.9781542701886673,0.980874605927709,500,20260806
domain_scatter_family,DSI_3D,brier_score,0.11229003773857778,0.10840134887403685,0.11575394578041884,500,20260806
domain_scatter_family,distance_diff_2D,roc_auc,0.9759358923445997,0.974274216598071,0.977652085706074,500,20260806
domain_scatter_family,distance_diff_2D,pr_auc,0.992549660276506,0.9919370652661939,0.9931050105364257,500,20260806
domain_scatter_family,distance_diff_2D,brier_score,0.05496286003060449,0.05251930718322916,0.0574139775041813,500,20260806
domain_scatter_family,distance_diff_3D,roc_auc,0.9759358923445997,0.9740944137193968,0.9777564347252647,500,20260806
domain_scatter_family,distance_diff_3D,pr_auc,0.992549660276506,0.9919698681282687,0.9931690158214928,500,20260806
domain_scatter_family,distance_diff_3D,brier_score,0.05496286003060449,0.052473929571644394,0.057626486012874095,500,20260806
domain_scatter_family,normalized_margin_2D,roc_auc,0.9315360663629477,0.928382844464271,0.9347990514738039,500,20260806
domain_scatter_family,normalized_margin_2D,pr_auc,0.9799318379838342,0.9788788821898031,0.9810810207531724,500,20260806
domain_scatter_family,normalized_margin_2D,brier_score,0.09120822194138974,0.0886847530955414,0.09351604035628283,500,20260806
domain_scatter_family,normalized_margin_3D,roc_auc,0.9315360663629477,0.9279135293588405,0.9348405648376946,500,20260806
domain_scatter_family,normalized_margin_3D,pr_auc,0.9799318379838342,0.9788029660893924,0.9810535101380499,500,20260806
domain_scatter_family,normalized_margin_3D,brier_score,0.09120822194138974,0.08869744272636941,0.09399117268983763,500,20260806
fault_spacing_family,DSI_2D,roc_auc,0.8399489706349815,0.8319539392384179,0.8480081550234518,500,20260806
fault_spacing_family,DSI_2D,pr_auc,0.9193088069134321,0.913959630756022,0.9251354667137512,500,20260806
fault_spacing_family,DSI_2D,brier_score,0.12175970190241825,0.11830267410660471,0.12523982558747002,500,20260806
fault_spacing_family,DSI_3D,roc_auc,0.8399489706349815,0.8322257406715245,0.8480307499178987,500,20260806
fault_spacing_family,DSI_3D,pr_auc,0.9193088069134321,0.9144482335916634,0.9252944483389384,500,20260806
fault_spacing_family,DSI_3D,brier_score,0.12175970190241825,0.11819081427786024,0.1251713274126411,500,20260806
fault_spacing_family,distance_diff_2D,roc_auc,0.9813773809857973,0.9798901542886153,0.9828223705211726,500,20260806
fault_spacing_family,distance_diff_2D,pr_auc,0.9943017083004322,0.9938111849449267,0.9947817863805574,500,20260806
fault_spacing_family,distance_diff_2D,brier_score,0.04906315215120751,0.0468126199678794,0.05138476885300391,500,20260806
fault_spacing_family,distance_diff_3D,roc_auc,0.9813773809857973,0.9800507082632846,0.9827964104388297,500,20260806
fault_spacing_family,distance_diff_3D,pr_auc,0.9943017083004322,0.993861473194043,0.9948153603753063,500,20260806
fault_spacing_family,distance_diff_3D,brier_score,0.04906315215120751,0.04665493366717415,0.05096862995017682,500,20260806
fault_spacing_family,normalized_margin_2D,roc_auc,0.9187460677827429,0.9148916344937498,0.922516386472643,500,20260806
fault_spacing_family,normalized_margin_2D,pr_auc,0.9763063907402566,0.9749199820445306,0.9775583331063139,500,20260806
fault_spacing_family,normalized_margin_2D,brier_score,0.10009312700090538,0.09735813131049,0.10283929264820799,500,20260806
fault_spacing_family,normalized_margin_3D,roc_auc,0.9187460677827429,0.914869824077495,0.9222676427114583,500,20260806
fault_spacing_family,normalized_margin_3D,pr_auc,0.9763063907402566,0.9750025409645284,0.9774749752274348,500,20260806
fault_spacing_family,normalized_margin_3D,brier_score,0.10009312700090538,0.09760100288457157,0.10272092361539086,500,20260806
perturbation_family,DSI_2D,roc_auc,0.9239350908298433,0.9198093582964352,0.9271427556383167,500,20260806
perturbation_family,DSI_2D,pr_auc,0.9771784895178157,0.9758233267870526,0.9783480936876594,500,20260806
perturbation_family,DSI_2D,brier_score,0.11382987034619997,0.11060527227775414,0.1171206521663643,500,20260806
perturbation_family,DSI_3D,roc_auc,0.9239350908298433,0.9204786254700563,0.9275729827930058,500,20260806
perturbation_family,DSI_3D,pr_auc,0.9771784895178157,0.9759740873795508,0.9784929280674403,500,20260806
perturbation_family,DSI_3D,brier_score,0.11382987034619997,0.1106412513935272,0.11690792901206636,500,20260806
perturbation_family,distance_diff_2D,roc_auc,0.9688543246081069,0.9666630933032125,0.970844076037452,500,20260806
perturbation_family,distance_diff_2D,pr_auc,0.9905583156565445,0.9898210640049576,0.9911955610006323,500,20260806
perturbation_family,distance_diff_2D,brier_score,0.06644954937342222,0.0637527169442017,0.06926745093359073,500,20260806
perturbation_family,distance_diff_3D,roc_auc,0.9688543246081069,0.9664701217129038,0.9709692706477304,500,20260806
perturbation_family,distance_diff_3D,pr_auc,0.9905583156565445,0.9897948083175702,0.9912458114317635,500,20260806
perturbation_family,distance_diff_3D,brier_score,0.06644954937342222,0.06374151810874425,0.06949416498940639,500,20260806
perturbation_family,normalized_margin_2D,roc_auc,0.9238938358941184,0.9202320309525791,0.9273364394953298,500,20260806
perturbation_family,normalized_margin_2D,pr_auc,0.9779272807508927,0.9766094260653565,0.978994157131847,500,20260806
perturbation_family,normalized_margin_2D,brier_score,0.09612935536048392,0.09358757563787899,0.0989522985358147,500,20260806
perturbation_family,normalized_margin_3D,roc_auc,0.9238938358941184,0.9198053915423969,0.9278093068461088,500,20260806
perturbation_family,normalized_margin_3D,pr_auc,0.9779272807508927,0.9765744443146925,0.9793495792893826,500,20260806
perturbation_family,normalized_margin_3D,brier_score,0.09612935536048392,0.09304303957806616,0.09901144934290589,500,20260806
