scheme,heldout_value,metric,n_test,roc_auc,pr_auc,brier_score
perturbation_family,medium,DSI_3D,4500,0.9558959558959559,0.9839508287799846,0.1250942841628389
perturbation_family,extreme,distance_diff_2D,4500,0.9976651338388368,0.999638733078344,0.09554686656793474
perturbation_family,high,distance_diff_2D,4500,0.9954776533146953,0.9988056730249643,0.027152616573417204
perturbation_family,low,distance_diff_2D,4500,0.9926925426629962,0.996683701109991,0.08833161454177282
perturbation_family,medium,distance_diff_2D,4500,0.9947343868912496,0.9979718753056555,0.054767099810564115
perturbation_family,extreme,distance_diff_3D,4500,0.9976651338388368,0.999638733078344,0.09554686656793474
perturbation_family,high,distance_diff_3D,4500,0.9954776533146953,0.9988056730249643,0.027152616573417204
perturbation_family,low,distance_diff_3D,4500,0.9926925426629962,0.996683701109991,0.08833161454177282
perturbation_family,medium,distance_diff_3D,4500,0.9947343868912496,0.9979718753056555,0.054767099810564115
perturbation_family,extreme,normalized_margin_2D,4500,0.9312029652925979,0.9888358389371021,0.11696204555106447
perturbation_family,high,normalized_margin_2D,4500,0.9411407222531805,0.9845587470215615,0.08584523507299549
perturbation_family,low,normalized_margin_2D,4500,0.9647200031080094,0.985137188172328,0.09674197056349756
perturbation_family,medium,normalized_margin_2D,4500,0.9562149300711392,0.9840534794503629,0.0849681702543781
perturbation_family,extreme,normalized_margin_3D,4500,0.9312029652925979,0.9888358389371021,0.11696204555106447
perturbation_family,high,normalized_margin_3D,4500,0.9411407222531805,0.9845587470215615,0.08584523507299549
perturbation_family,low,normalized_margin_3D,4500,0.9647200031080094,0.985137188172328,0.09674197056349756
perturbation_family,medium,normalized_margin_3D,4500,0.9562149300711392,0.9840534794503629,0.0849681702543781
competing_fault_count_family,2,DSI_2D,6000,0.9196086836162776,0.9516166299756468,0.1727817013527759
competing_fault_count_family,4,DSI_2D,6000,0.9371434637198056,0.9845634905347269,0.09681857388576397
competing_fault_count_family,8,DSI_2D,6000,0.945019059985567,0.9938395957289156,0.07121634110755434
competing_fault_count_family,2,DSI_3D,6000,0.9196086836162776,0.9516166299756468,0.1727817013527759
competing_fault_count_family,4,DSI_3D,6000,0.9371434637198056,0.9845634905347269,0.09681857388576397
competing_fault_count_family,8,DSI_3D,6000,0.945019059985567,0.9938395957289156,0.07121634110755434
competing_fault_count_family,2,distance_diff_2D,6000,0.9826895189879915,0.988408013812608,0.05379298197245794
competing_fault_count_family,4,distance_diff_2D,6000,0.9773512438963196,0.9944145168144686,0.05085510894782854
competing_fault_count_family,8,distance_diff_2D,6000,0.9726271974825602,0.996955931439905,0.04169305847539231
competing_fault_count_family,2,distance_diff_3D,6000,0.9826895189879915,0.988408013812608,0.05379298197245794
competing_fault_count_family,4,distance_diff_3D,6000,0.9773512438963196,0.9944145168144686,0.05085510894782854
competing_fault_count_family,8,distance_diff_3D,6000,0.9726271974825602,0.996955931439905,0.04169305847539231
competing_fault_count_family,2,normalized_margin_2D,6000,0.9197920118393367,0.9517040115071878,0.12803206694202451
competing_fault_count_family,4,normalized_margin_2D,6000,0.9374000526619077,0.984618085259,0.08396867484197215
competing_fault_count_family,8,normalized_margin_2D,6000,0.94533140810706,0.9938737554191577,0.0672150128824035
competing_fault_count_family,2,normalized_margin_3D,6000,0.9197920118393367,0.9517040115071878,0.12803206694202451
competing_fault_count_family,4,normalized_margin_3D,6000,0.9374000526619077,0.984618085259,0.08396867484197215
competing_fault_count_family,8,normalized_margin_3D,6000,0.94533140810706,0.9938737554191577,0.0672150128824035
domain_scatter_family,high,DSI_2D,6000,0.9295028660099107,0.9838352778459459,0.09862599986862879
domain_scatter_family,low,DSI_2D,6000,0.9478831395269018,0.981092790154708,0.13106281968355782
domain_scatter_family,medium,DSI_2D,6000,0.9466496405118032,0.9837226703719453,0.10718129366354678
domain_scatter_family,high,DSI_3D,6000,0.9295028660099107,0.9838352778459459,0.09862599986862879
domain_scatter_family,low,DSI_3D,6000,0.9478831395269018,0.981092790154708,0.13106281968355782
domain_scatter_family,medium,DSI_3D,6000,0.9466496405118032,0.9837226703719453,0.10718129366354678
domain_scatter_family,high,distance_diff_2D,6000,0.9897761032907122,0.9976741124346076,0.04785203108057027
domain_scatter_family,low,distance_diff_2D,6000,0.9808908689026484,0.9928639106956056,0.07151848761008416
domain_scatter_family,medium,distance_diff_2D,6000,0.9856362910200943,0.9955623228532114,0.045518061401159056
domain_scatter_family,high,distance_diff_3D,6000,0.9897761032907122,0.9976741124346076,0.04785203108057027
domain_scatter_family,low,distance_diff_3D,6000,0.9808908689026484,0.9928639106956056,0.07151848761008416
domain_scatter_family,medium,distance_diff_3D,6000,0.9856362910200943,0.9955623228532114,0.045518061401159056
domain_scatter_family,high,normalized_margin_2D,6000,0.9300997146706267,0.9839614686010356,0.09861399724086402
domain_scatter_family,low,normalized_margin_2D,6000,0.9478891802468457,0.9810948488071066,0.0927521114191178
domain_scatter_family,medium,normalized_margin_2D,6000,0.9467041780418345,0.9837391121753494,0.0822585571641874
domain_scatter_family,high,normalized_margin_3D,6000,0.9300997146706267,0.9839614686010356,0.09861399724086402
domain_scatter_family,low,normalized_margin_3D,6000,0.9478891802468457,0.9810948488071066,0.0927521114191178
domain_scatter_family,medium,normalized_margin_3D,6000,0.9467041780418345,0.9837391121753494,0.0822585571641874
