scheme,metric,probability_bin,n,mean_predicted_probability,observed_reversal_fraction
fault_spacing_family,DSI_2D,"(-0.001, 0.1]",1044,0.02727053437894897,0.09482758620689655
fault_spacing_family,DSI_2D,"(0.1, 0.2]",346,0.1438899964646226,0.2514450867052023
fault_spacing_family,DSI_2D,"(0.2, 0.3]",176,0.25024231494965177,0.3181818181818182
fault_spacing_family,DSI_2D,"(0.3, 0.4]",181,0.35529821297875436,0.3149171270718232
fault_spacing_family,DSI_2D,"(0.4, 0.5]",369,0.4549694984168548,0.26558265582655827
fault_spacing_family,DSI_2D,"(0.5, 0.6]",576,0.5565119405230412,0.3263888888888889
fault_spacing_family,DSI_2D,"(0.6, 0.7]",624,0.6567194723825401,0.49038461538461536
fault_spacing_family,DSI_2D,"(0.7, 0.8]",1231,0.7600226858700025,0.6116978066612511
fault_spacing_family,DSI_2D,"(0.8, 0.9]",10526,0.868005629976006,0.9033821014630439
fault_spacing_family,DSI_2D,"(0.9, 1.0]",2927,0.9109127259027047,0.8722241202596516
fault_spacing_family,DSI_3D,"(-0.001, 0.1]",1044,0.02727053437894897,0.09482758620689655
fault_spacing_family,DSI_3D,"(0.1, 0.2]",346,0.1438899964646226,0.2514450867052023
fault_spacing_family,DSI_3D,"(0.2, 0.3]",176,0.25024231494965177,0.3181818181818182
fault_spacing_family,DSI_3D,"(0.3, 0.4]",181,0.35529821297875436,0.3149171270718232
fault_spacing_family,DSI_3D,"(0.4, 0.5]",369,0.4549694984168548,0.26558265582655827
fault_spacing_family,DSI_3D,"(0.5, 0.6]",576,0.5565119405230412,0.3263888888888889
fault_spacing_family,DSI_3D,"(0.6, 0.7]",624,0.6567194723825401,0.49038461538461536
fault_spacing_family,DSI_3D,"(0.7, 0.8]",1231,0.7600226858700025,0.6116978066612511
fault_spacing_family,DSI_3D,"(0.8, 0.9]",10526,0.868005629976006,0.9033821014630439
fault_spacing_family,DSI_3D,"(0.9, 1.0]",2927,0.9109127259027047,0.8722241202596516
fault_spacing_family,distance_diff_2D,"(-0.001, 0.1]",2809,0.009155519594285311,0.03346386614453542
fault_spacing_family,distance_diff_2D,"(0.1, 0.2]",198,0.15056947632997764,0.2474747474747475
fault_spacing_family,distance_diff_2D,"(0.2, 0.3]",400,0.24327474688246092,0.3175
fault_spacing_family,distance_diff_2D,"(0.3, 0.4]",290,0.36327912543023766,0.3448275862068966
fault_spacing_family,distance_diff_2D,"(0.4, 0.5]",283,0.4386837558160413,0.3745583038869258
fault_spacing_family,distance_diff_2D,"(0.5, 0.6]",389,0.5544479497585254,0.43444730077120824
fault_spacing_family,distance_diff_2D,"(0.6, 0.7]",237,0.649536684041039,0.6075949367088608
fault_spacing_family,distance_diff_2D,"(0.7, 0.8]",389,0.7580752955262439,0.6683804627249358
fault_spacing_family,distance_diff_2D,"(0.8, 0.9]",988,0.8512860889202659,0.742914979757085
fault_spacing_family,distance_diff_2D,"(0.9, 1.0]",12017,0.9809927866502696,0.9921777481900641
fault_spacing_family,distance_diff_3D,"(-0.001, 0.1]",2809,0.009155519594285311,0.03346386614453542
fault_spacing_family,distance_diff_3D,"(0.1, 0.2]",198,0.15056947632997764,0.2474747474747475
fault_spacing_family,distance_diff_3D,"(0.2, 0.3]",400,0.24327474688246092,0.3175
fault_spacing_family,distance_diff_3D,"(0.3, 0.4]",290,0.36327912543023766,0.3448275862068966
fault_spacing_family,distance_diff_3D,"(0.4, 0.5]",283,0.4386837558160413,0.3745583038869258
fault_spacing_family,distance_diff_3D,"(0.5, 0.6]",389,0.5544479497585254,0.43444730077120824
fault_spacing_family,distance_diff_3D,"(0.6, 0.7]",237,0.649536684041039,0.6075949367088608
fault_spacing_family,distance_diff_3D,"(0.7, 0.8]",389,0.7580752955262439,0.6683804627249358
fault_spacing_family,distance_diff_3D,"(0.8, 0.9]",988,0.8512860889202659,0.742914979757085
fault_spacing_family,distance_diff_3D,"(0.9, 1.0]",12017,0.9809927866502696,0.9921777481900641
fault_spacing_family,normalized_margin_2D,"(0.1, 0.2]",655,0.1695061172873488,0.28091603053435116
fault_spacing_family,normalized_margin_2D,"(0.2, 0.3]",1643,0.25237839608636414,0.23189287888009738
fault_spacing_family,normalized_margin_2D,"(0.3, 0.4]",1212,0.34618934930431566,0.36386138613861385
fault_spacing_family,normalized_margin_2D,"(0.4, 0.5]",753,0.4409047066891461,0.44223107569721115
fault_spacing_family,normalized_margin_2D,"(0.5, 0.6]",827,0.5473695467134796,0.4873035066505441
fault_spacing_family,normalized_margin_2D,"(0.6, 0.7]",704,0.6586438584498602,0.7244318181818182
fault_spacing_family,normalized_margin_2D,"(0.7, 0.8]",871,0.7470945579141788,0.6486796785304249
fault_spacing_family,normalized_margin_2D,"(0.8, 0.9]",908,0.850313082056639,0.5980176211453745
fault_spacing_family,normalized_margin_2D,"(0.9, 1.0]",10427,0.9920072945724685,0.9922317061475017
fault_spacing_family,normalized_margin_3D,"(0.1, 0.2]",655,0.1695061172873488,0.28091603053435116
fault_spacing_family,normalized_margin_3D,"(0.2, 0.3]",1643,0.25237839608636414,0.23189287888009738
fault_spacing_family,normalized_margin_3D,"(0.3, 0.4]",1212,0.34618934930431566,0.36386138613861385
fault_spacing_family,normalized_margin_3D,"(0.4, 0.5]",753,0.4409047066891461,0.44223107569721115
fault_spacing_family,normalized_margin_3D,"(0.5, 0.6]",827,0.5473695467134796,0.4873035066505441
fault_spacing_family,normalized_margin_3D,"(0.6, 0.7]",704,0.6586438584498602,0.7244318181818182
fault_spacing_family,normalized_margin_3D,"(0.7, 0.8]",871,0.7470945579141788,0.6486796785304249
fault_spacing_family,normalized_margin_3D,"(0.8, 0.9]",908,0.850313082056639,0.5980176211453745
fault_spacing_family,normalized_margin_3D,"(0.9, 1.0]",10427,0.9920072945724685,0.9922317061475017
perturbation_family,DSI_2D,"(-0.001, 0.1]",1223,0.0220900617853731,0.14799672935404742
perturbation_family,DSI_2D,"(0.1, 0.2]",308,0.15479467224423551,0.2564935064935065
perturbation_family,DSI_2D,"(0.2, 0.3]",259,0.24777066281651555,0.2471042471042471
perturbation_family,DSI_2D,"(0.3, 0.4]",302,0.3530404985548804,0.2152317880794702
perturbation_family,DSI_2D,"(0.4, 0.5]",389,0.45574464322929054,0.30077120822622105
perturbation_family,DSI_2D,"(0.5, 0.6]",382,0.54741327017596,0.43455497382198954
perturbation_family,DSI_2D,"(0.6, 0.7]",668,0.6508409201435764,0.47305389221556887
perturbation_family,DSI_2D,"(0.7, 0.8]",1387,0.7545708519470982,0.45061283345349673
perturbation_family,DSI_2D,"(0.8, 0.9]",8111,0.8743933643131186,0.8780668228331895
perturbation_family,DSI_2D,"(0.9, 1.0]",4971,0.9052279848099088,1.0
perturbation_family,DSI_3D,"(-0.001, 0.1]",1223,0.0220900617853731,0.14799672935404742
perturbation_family,DSI_3D,"(0.1, 0.2]",308,0.15479467224423551,0.2564935064935065
perturbation_family,DSI_3D,"(0.2, 0.3]",259,0.24777066281651555,0.2471042471042471
perturbation_family,DSI_3D,"(0.3, 0.4]",302,0.3530404985548804,0.2152317880794702
perturbation_family,DSI_3D,"(0.4, 0.5]",389,0.45574464322929054,0.30077120822622105
perturbation_family,DSI_3D,"(0.5, 0.6]",382,0.54741327017596,0.43455497382198954
perturbation_family,DSI_3D,"(0.6, 0.7]",668,0.6508409201435764,0.47305389221556887
perturbation_family,DSI_3D,"(0.7, 0.8]",1387,0.7545708519470982,0.45061283345349673
perturbation_family,DSI_3D,"(0.8, 0.9]",8111,0.8743933643131186,0.8780668228331895
perturbation_family,DSI_3D,"(0.9, 1.0]",4971,0.9052279848099088,1.0
perturbation_family,distance_diff_2D,"(-0.001, 0.1]",2870,0.013675846521282802,0.08745644599303136
perturbation_family,distance_diff_2D,"(0.1, 0.2]",258,0.14308388709248462,0.44573643410852715
perturbation_family,distance_diff_2D,"(0.2, 0.3]",273,0.25272100242289414,0.4652014652014652
perturbation_family,distance_diff_2D,"(0.3, 0.4]",279,0.3535823342246622,0.31899641577060933
perturbation_family,distance_diff_2D,"(0.4, 0.5]",275,0.4501012733142688,0.2690909090909091
perturbation_family,distance_diff_2D,"(0.5, 0.6]",325,0.5446391843219194,0.38461538461538464
perturbation_family,distance_diff_2D,"(0.6, 0.7]",379,0.6532459019030216,0.44327176781002636
perturbation_family,distance_diff_2D,"(0.7, 0.8]",425,0.7569158602302217,0.691764705882353
perturbation_family,distance_diff_2D,"(0.8, 0.9]",869,0.8581341753639419,0.7008055235903338
perturbation_family,distance_diff_2D,"(0.9, 1.0]",12047,0.9835178337876845,0.9839794139619822
perturbation_family,distance_diff_3D,"(-0.001, 0.1]",2870,0.013675846521282802,0.08745644599303136
perturbation_family,distance_diff_3D,"(0.1, 0.2]",258,0.14308388709248462,0.44573643410852715
perturbation_family,distance_diff_3D,"(0.2, 0.3]",273,0.25272100242289414,0.4652014652014652
perturbation_family,distance_diff_3D,"(0.3, 0.4]",279,0.3535823342246622,0.31899641577060933
perturbation_family,distance_diff_3D,"(0.4, 0.5]",275,0.4501012733142688,0.2690909090909091
perturbation_family,distance_diff_3D,"(0.5, 0.6]",325,0.5446391843219194,0.38461538461538464
perturbation_family,distance_diff_3D,"(0.6, 0.7]",379,0.6532459019030216,0.44327176781002636
perturbation_family,distance_diff_3D,"(0.7, 0.8]",425,0.7569158602302217,0.691764705882353
perturbation_family,distance_diff_3D,"(0.8, 0.9]",869,0.8581341753639419,0.7008055235903338
perturbation_family,distance_diff_3D,"(0.9, 1.0]",12047,0.9835178337876845,0.9839794139619822
perturbation_family,normalized_margin_2D,"(-0.001, 0.1]",123,0.09026728486258642,0.12195121951219512
perturbation_family,normalized_margin_2D,"(0.1, 0.2]",1245,0.15615955201703638,0.25783132530120484
perturbation_family,normalized_margin_2D,"(0.2, 0.3]",1610,0.24914580862308647,0.2565217391304348
perturbation_family,normalized_margin_2D,"(0.3, 0.4]",876,0.350864011707041,0.4280821917808219
perturbation_family,normalized_margin_2D,"(0.4, 0.5]",828,0.4488699724467858,0.36835748792270534
perturbation_family,normalized_margin_2D,"(0.5, 0.6]",474,0.5481436911479595,0.6413502109704642
perturbation_family,normalized_margin_2D,"(0.6, 0.7]",698,0.6565688769661976,0.7550143266475645
perturbation_family,normalized_margin_2D,"(0.7, 0.8]",1012,0.7512371432710482,0.5464426877470355
perturbation_family,normalized_margin_2D,"(0.8, 0.9]",734,0.8465724282617849,0.7465940054495913
perturbation_family,normalized_margin_2D,"(0.9, 1.0]",10400,0.9922568785471322,0.9947115384615385
perturbation_family,normalized_margin_3D,"(-0.001, 0.1]",123,0.09026728486258642,0.12195121951219512
perturbation_family,normalized_margin_3D,"(0.1, 0.2]",1245,0.15615955201703638,0.25783132530120484
perturbation_family,normalized_margin_3D,"(0.2, 0.3]",1610,0.24914580862308647,0.2565217391304348
perturbation_family,normalized_margin_3D,"(0.3, 0.4]",876,0.350864011707041,0.4280821917808219
perturbation_family,normalized_margin_3D,"(0.4, 0.5]",828,0.4488699724467858,0.36835748792270534
perturbation_family,normalized_margin_3D,"(0.5, 0.6]",474,0.5481436911479595,0.6413502109704642
perturbation_family,normalized_margin_3D,"(0.6, 0.7]",698,0.6565688769661976,0.7550143266475645
perturbation_family,normalized_margin_3D,"(0.7, 0.8]",1012,0.7512371432710482,0.5464426877470355
perturbation_family,normalized_margin_3D,"(0.8, 0.9]",734,0.8465724282617849,0.7465940054495913
perturbation_family,normalized_margin_3D,"(0.9, 1.0]",10400,0.9922568785471322,0.9947115384615385
